node,average_degree_neighbors
898,50.26086956521739
5137,67.5
3781,108.0
5489,27.125
4928,20.666666666666668
4930,62.5
6215,0.0
4689,1.0
4546,75.0
5417,69.5
5381,58.875
3617,94.29411764705883
2330,62.06666666666667
1725,125.0
4945,76.88888888888889
731,214.15
6229,1.0
1341,117.25
1342,60.921875
1343,70.85106382978724
2583,56.6
2866,0.0
4185,53.0
4187,20.125
3262,42.96551724137931
6244,0.0
1746,82.39622641509433
3895,71.26315789473684
1360,111.44680851063829
5690,93.33333333333333
4202,35.69565217391305
2507,76.01470588235294
2179,85.5952380952381
5821,45.333333333333336
535,73.39473684210526
2123,95.375
3010,13.82857142857143
1756,72.25531914893617
6258,0.0
4981,37.23076923076923
2605,36.083333333333336
3097,46.0
1761,84.88888888888889
5322,0.6666666666666666
94,312.8333333333333
5832,7.8
5823,73.5
2480,0.3333333333333333
1769,239.58620689655172
2680,80.12
2333,220.125
5454,88.4
3710,98.11111111111111
5422,59.333333333333336
2271,108.47058823529412
3433,173.73134328358208
5424,116.33333333333333
2619,105.93548387096774
2202,71.61538461538461
2331,45.4
5008,6.533333333333333
4221,52.78947368421053
1019,199.24137931034483
1394,228.47826086956522
2683,120.52
5927,1.6666666666666667
258,195.55555555555554
979,69.90322580645162
3853,75.45454545454545
4234,68.1304347826087
1910,76.95652173913044
870,50.0
5446,118.33333333333333
4609,62.0
2233,148.92857142857142
1405,61.75
2686,69.1
2915,52.645161290322584
6317,10.0
3907,78.23529411764706
5777,0.0
4254,34.93333333333333
6322,0.0
1991,2.3333333333333335
3080,149.0
5604,80.0
588,74.33333333333333
4623,102.14285714285714
2246,102.41666666666667
5466,5.666666666666667
1419,69.9090909090909
5468,68.66666666666667
1421,97.16279069767442
1422,213.88
2665,72.28571428571429
3878,103.15384615384616
1822,92.81818181818181
2253,39.40909090909091
5057,29.41176470588235
203,100.04166666666667
5356,1.0
3475,165.0
3093,65.65853658536585
5481,6.5
2263,160.65384615384616
1832,59.892857142857146
5296,40.25
4926,57.083333333333336
5075,35.54545454545455
3899,72.625
4647,47.44444444444444
4601,32.8125
1840,134.78048780487805
1841,92.39285714285714
4655,45.05263157894737
2687,101.61904761904762
620,278.54545454545456
5085,24.181818181818183
2397,70.96969696969697
1847,105.24489795918367
277,124.19444444444444
6360,36.9264705882353
3910,96.33333333333333
5495,80.33333333333333
702,151.52631578947367
4662,13.019607843137255
628,56.95652173913044
3501,41.55263157894737
231,290.54
6060,70.33333333333333
3506,154.8918918918919
1524,91.04347826086956
2704,50.4
5558,0.0
3917,12.123152709359607
2285,73.0
2707,62.333333333333336
6431,0.0
5108,10.653846153846153
1464,184.45901639344262
1055,33.072916666666664
6139,8.0
1863,18.4
4793,30.05263157894737
5517,50.25
6488,0.5
4406,138.6
6386,0.0
4317,81.16666666666667
3116,136.4
4320,24.0
1879,241.20833333333334
6104,0.0
5500,22.896551724137932
2728,88.95
3998,61.375
1474,22.805263157894736
1072,112.57894736842105
5811,12.475247524752476
4698,111.33333333333333
259,200.64
5955,2.4
853,168.5
3158,97.95833333333333
6404,2.0
2318,60.84444444444444
1263,58.13095238095238
3947,89.18181818181819
4150,126.87878787878788
5548,25.4
675,298.44
4956,129.0
1900,101.05
4339,136.75
4651,65.88888888888889
5974,13.333333333333334
4216,49.95
2623,109.0
687,289.0
5156,13.894736842105264
3558,65.42857142857143
4714,51.8
2753,75.93939393939394
3969,35.8
4345,121.8
1913,109.92
3856,58.54545454545455
2762,24.327868852459016
3497,14.0
2345,51.390243902439025
1919,161.8
255,91.82926829268293
4489,57.875
2360,51.166666666666664
4727,48.0
3983,120.28571428571429
5586,63.4
3573,76.6
3727,45.833333333333336
5182,52.666666666666664
4361,7.5
1935,100.08333333333333
3515,89.36666666666666
1940,137.8
355,25.201680672268907
3585,60.61538461538461
1140,299.09090909090907
1944,42.171052631578945
4658,72.75
6359,1.0
4002,60.470588235294116
1551,103.38095238095238
4381,43.0
5701,82.5
3219,118.92307692307692
5612,11.8
6190,0.5
3418,58.142857142857146
1429,105.92857142857143
4758,64.14285714285714
3611,96.75
1568,127.21153846153847
3614,95.15789473684211
4761,99.66666666666667
1163,113.65333333333334
